#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         583     1.81957     1.69443  0.00399671
         584     1.82023     1.69464  0.00399567
         585     1.82081     1.69486  0.00399465
         586     1.82132     1.69507  0.00399366
         587     1.82175     1.69529  0.00399268
         588     1.82211      1.6955  0.00399172
         589      1.8224     1.69572  0.00399075
         590     1.82261     1.69593  0.00398978
         591     1.82276     1.69615  0.00398879
         592     1.82283     1.69636  0.00398779
         593     1.82283     1.69658  0.00398676
         594     1.82277     1.69679  0.00398571
         595     1.82264       1.697  0.00398462
         596     1.82244     1.69721  0.00398349
         597     1.82219     1.69742  0.00398231
         598     1.82187     1.69763  0.00398109
         599     1.82149     1.69784  0.00397981
         600     1.82105     1.69804  0.00397847
         601     1.82056     1.69824  0.00397707
         602     1.82001     1.69845   0.0039756
         603     1.81941     1.69865  0.00397406
         604     1.81876     1.69885  0.00397246
         605     1.81806     1.69904  0.00397078
         606     1.81731     1.69924  0.00396902
         607     1.81652     1.69943  0.00396718
         608     1.81569     1.69962  0.00396526
         609     1.81482     1.69981  0.00396326
         610     1.81391         1.7  0.00396117
         611     1.81296     1.70018    0.003959
         612     1.81199     1.70037  0.00395674
         613     1.81098     1.70055   0.0039544
         614     1.80995     1.70073  0.00395197
         615     1.80889      1.7009  0.00394946
         616     1.80781     1.70107  0.00394686
         617     1.80671     1.70125  0.00394417
         618     1.80559     1.70141   0.0039414
         619     1.80446     1.70158  0.00393855
         620     1.80332     1.70175  0.00393562
         621     1.80217     1.70191   0.0039326
         622     1.80101     1.70207   0.0039295
         623     1.79986     1.70222  0.00392633
         624      1.7987     1.70238  0.00392308
         625     1.79755     1.70253  0.00391976
         626      1.7964     1.70268  0.00391636
         627     1.79527     1.70283   0.0039129
         628     1.79415     1.70297  0.00390937
         629     1.79305     1.70312  0.00390578
         630     1.79197     1.70326  0.00390212
         631     1.79092      1.7034  0.00389841
         632      1.7899     1.70353  0.00389465
         633      1.7889     1.70367  0.00389083
         634     1.78795      1.7038  0.00388696
         635     1.78703     1.70393  0.00388305
         636     1.78616     1.70406   0.0038791
         637     1.78533     1.70419   0.0038751
         638     1.78456     1.70431  0.00387108
         639     1.78384     1.70444  0.00386702
         640     1.78318     1.70456  0.00386293
         641     1.78258     1.70468  0.00385882
         642     1.78205      1.7048   0.0038547
         643     1.78159     1.70492  0.00385055
         644     1.78119     1.70504  0.00384639
         645     1.78088     1.70516  0.00384222
         646     1.78063     1.70528  0.00383805
         647     1.78047     1.70539  0.00383388
         648      1.7804     1.70551  0.00382971
         649      1.7804     1.70562  0.00382555
         650      1.7805     1.70574   0.0038214
         651     1.78068     1.70585  0.00381726
         652     1.78095     1.70597  0.00381314
         653     1.78131     1.70609  0.00380905
         654     1.78177      1.7062  0.00380498
         655     1.78232     1.70632  0.00380095
         656     1.78296     1.70643  0.00379695
         657      1.7837     1.70655  0.00379299
         658     1.78453     1.70667  0.00378908
         659     1.78545     1.70679  0.00378521
         660     1.78646     1.70691   0.0037814
         661     1.78756     1.70703  0.00377765
         662     1.78875     1.70716  0.00377396
         663     1.79002     1.70728  0.00377033
         664     1.79137     1.70741  0.00376678
         665     1.79279     1.70754  0.00376331
         666     1.79429     1.70767  0.00375991
         667     1.79586      1.7078   0.0037566
         668      1.7975     1.70793  0.00375337
         669     1.79919     1.70807  0.00375024
         670     1.80094     1.70821   0.0037472
         671     1.80274     1.70835  0.00374427
         672     1.80459     1.70849  0.00374143
         673     1.80648     1.70864   0.0037387
         674     1.80839     1.70879  0.00373609
         675     1.81034     1.70894  0.00373358
         676     1.81231     1.70909  0.00373119
         677     1.81429     1.70924  0.00372891
         678     1.81628      1.7094  0.00372675
         679     1.81828     1.70956  0.00372471
         680     1.82027     1.70973  0.00372279
         681     1.82226     1.70989  0.00372099
         682     1.82422     1.71006  0.00371931
         683     1.82616     1.71023  0.00371774
