#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         614    0.768758    0.808833  0.00181358
         615    0.769118    0.808768  0.00181178
         616    0.769473    0.808704  0.00180996
         617    0.769821    0.808641  0.00180812
         618    0.770163    0.808579  0.00180627
         619    0.770497    0.808518   0.0018044
         620    0.770823    0.808457  0.00180251
         621    0.771141    0.808397  0.00180061
         622     0.77145    0.808337  0.00179869
         623    0.771749    0.808278  0.00179676
         624     0.77204     0.80822  0.00179482
         625    0.772321    0.808163  0.00179287
         626    0.772593    0.808106  0.00179091
         627    0.772854     0.80805  0.00178893
         628    0.773104    0.807994  0.00178695
         629    0.773342    0.807939  0.00178496
         630     0.77357    0.807885  0.00178296
         631    0.773788    0.807831  0.00178095
         632    0.773994    0.807777  0.00177894
         633     0.77419    0.807724  0.00177692
         634    0.774376    0.807671  0.00177489
         635    0.774552    0.807619  0.00177286
         636    0.774717    0.807568  0.00177083
         637    0.774872    0.807516   0.0017688
         638    0.775018    0.807465  0.00176676
         639    0.775154    0.807415  0.00176471
         640    0.775281    0.807364  0.00176267
         641      0.7754    0.807315  0.00176063
         642    0.775509    0.807265  0.00175858
         643     0.77561    0.807216  0.00175654
         644    0.775701    0.807167  0.00175449
         645    0.775784    0.807118  0.00175244
         646    0.775858     0.80707   0.0017504
         647    0.775923    0.807022  0.00174836
         648    0.775982    0.806974  0.00174631
         649    0.776034    0.806926  0.00174427
         650    0.776078    0.806879  0.00174223
         651    0.776115    0.806831   0.0017402
         652    0.776146    0.806784  0.00173817
         653     0.77617    0.806737  0.00173614
         654    0.776187    0.806691  0.00173411
         655    0.776199    0.806644  0.00173209
         656    0.776206    0.806598  0.00173007
         657    0.776209    0.806552  0.00172805
         658    0.776207    0.806505  0.00172604
         659      0.7762    0.806459  0.00172404
         660    0.776189    0.806414  0.00172203
         661    0.776174    0.806368  0.00172004
         662    0.776154    0.806322  0.00171804
         663    0.776131    0.806277  0.00171606
         664    0.776105    0.806231  0.00171407
         665    0.776076    0.806186  0.00171209
         666    0.776045    0.806141  0.00171012
         667    0.776011    0.806095  0.00170815
         668    0.775976     0.80605  0.00170619
         669     0.77594    0.806005  0.00170424
         670    0.775904     0.80596  0.00170228
         671    0.775867    0.805916  0.00170034
         672     0.77583    0.805871   0.0016984
         673    0.775794    0.805826  0.00169646
         674    0.775759    0.805782  0.00169453
         675    0.775727    0.805737  0.00169261
         676    0.775698    0.805693  0.00169068
         677    0.775671    0.805648  0.00168877
         678    0.775648    0.805604  0.00168686
         679     0.77563     0.80556  0.00168495
         680    0.775616    0.805516  0.00168305
         681    0.775608    0.805472  0.00168115
         682    0.775606    0.805428  0.00167925
         683    0.775611    0.805384  0.00167736
         684    0.775624    0.805341  0.00167548
         685    0.775646    0.805298  0.00167359
         686    0.775678    0.805254  0.00167171
         687    0.775721    0.805211  0.00166983
         688    0.775775    0.805169  0.00166795
         689    0.775841    0.805126  0.00166607
         690    0.775919    0.805084  0.00166419
         691    0.776011    0.805042  0.00166232
         692    0.776117       0.805  0.00166044
         693    0.776238    0.804958  0.00165856
         694    0.776377    0.804917  0.00165668
         695    0.776533    0.804876   0.0016548
         696    0.776707    0.804836  0.00165292
         697    0.776898    0.804796  0.00165103
         698    0.777109    0.804756  0.00164915
         699     0.77734    0.804717  0.00164725
         700    0.777591    0.804678  0.00164536
         701    0.777864     0.80464  0.00164345
         702    0.778158    0.804602  0.00164154
         703    0.778474    0.804565  0.00163963
         704    0.778812    0.804528  0.00163771
         705    0.779172    0.804492  0.00163578
         706    0.779555    0.804457  0.00163385
         707    0.779961    0.804422   0.0016319
         708    0.780391    0.804389  0.00162995
         709    0.780845    0.804355  0.00162799
         710    0.781322    0.804323  0.00162602
         711    0.781822    0.804291  0.00162404
         712    0.782345     0.80426  0.00162205
         713     0.78289     0.80423  0.00162005
         714    0.783458    0.804201  0.00161805
         715    0.784047    0.804173  0.00161603
         716    0.784657    0.804146    0.001614
         717    0.785287     0.80412  0.00161196
         718    0.785936    0.804094  0.00160992
         719    0.786604     0.80407  0.00160786
         720     0.78729    0.804047   0.0016058
         721    0.787993    0.804024  0.00160373
         722    0.788712    0.804003  0.00160165
         723    0.789447    0.803983  0.00159956
         724    0.790197    0.803964  0.00159746
         725     0.79096    0.803946  0.00159536
         726    0.791734    0.803929  0.00159325
         727    0.792519    0.803914  0.00159113
